Trading name,Latitude,Longitude,CLUE small area,Building address
Rfour Cafe,-37.81592157,144.963497917,Melbourne (CBD),97-103 Elizabeth Street MELBOURNE 3000
Cafe Segovia,-37.81526826,144.964390052,Melbourne (CBD),34-36 Block Place MELBOURNE 3000
Cafe Duomo,-37.81557613,144.964193634,Melbourne (CBD),96-102 Elizabeth Street MELBOURNE 3000
Cafe Meditteranean,-37.81528474,144.966125777,Melbourne (CBD),220-226 Collins Street MELBOURNE 3000
Cafe Meditteranean,-37.81528474,144.966125777,Melbourne (CBD),220-226 Collins Street MELBOURNE 3000
Corporate Cafe,-37.81361885,144.971624202,Melbourne (CBD),56-64 Collins Street MELBOURNE 3000
N Lee Bakery And Cafe,-37.81309819,144.971695319,Melbourne (CBD),57-67 Little Collins Street MELBOURNE 3000
Cafe Excello,-37.81260039,144.973183635,Melbourne (CBD),93-101 Spring Street MELBOURNE 3000
Spring Cafe & Larder,-37.81260039,144.973183635,Melbourne (CBD),93-101 Spring Street MELBOURNE 3000
Spring Cafe & Larder,-37.81260039,144.973183635,Melbourne (CBD),93-101 Spring Street MELBOURNE 3000
Good Taste Cafe,-37.81677365,144.955552875,Melbourne (CBD),607-619 Bourke Street MELBOURNE 3000
The Bourke Armoury Cafe,-37.81732118,144.954492589,Melbourne (CBD),655-667 Bourke Street MELBOURNE 3000
The Bourke Armoury Cafe,-37.81732118,144.954492589,Melbourne (CBD),655-667 Bourke Street MELBOURNE 3000
Cafe Diy,-37.81636534,144.957813229,Melbourne (CBD),121 William Street MELBOURNE 3000
Tengu Sushi Cafe,-37.81636534,144.957813229,Melbourne (CBD),121 William Street MELBOURNE 3000
Tengu Sushi Cafe,-37.81636534,144.957813229,Melbourne (CBD),121 William Street MELBOURNE 3000
My Ko Cafe,-37.81651427,144.956668799,Melbourne (CBD),573-585 Bourke Street MELBOURNE 3000
Cocoa Bean Cafe,-37.81595642,144.958939248,Melbourne (CBD),130-148 William Street MELBOURNE 3000
Trios Cafe,-37.81630648,144.958922359,Melbourne (CBD),114-128 William Street MELBOURNE 3000
Trios Cafe,-37.81630648,144.958922359,Melbourne (CBD),114-128 William Street MELBOURNE 3000
Cafe 396,-37.81556194,144.961530595,Melbourne (CBD),392-396 Little Collins Street MELBOURNE 3000
J & Ty Cafe,-37.81538817,144.961177002,Melbourne (CBD),128-146 Queen Street MELBOURNE 3000
Alpha Cafe & Deli,-37.81445406,144.964532283,Melbourne (CBD),309-325 Bourke Street MELBOURNE 3000
Alpha Cafe & Deli,-37.81445406,144.964532283,Melbourne (CBD),309-325 Bourke Street MELBOURNE 3000
Riva Bar Cafe,-37.81445406,144.964532283,Melbourne (CBD),309-325 Bourke Street MELBOURNE 3000
Cafe E Torta,-37.81458812,144.964048991,Melbourne (CBD),331-339 Bourke Street MELBOURNE 3000
Cafe E Torta,-37.81458812,144.964048991,Melbourne (CBD),331-339 Bourke Street MELBOURNE 3000
Gordons Cafe & Bar,-37.81473293,144.964348594,Melbourne (CBD),304-306 Little Collins Street MELBOURNE 3000
Gordons Cafe & Bar,-37.81473293,144.964348594,Melbourne (CBD),304-306 Little Collins Street MELBOURNE 3000
Swanston Walk Cafe Bar,-37.81407743,144.965582764,Melbourne (CBD),157-159 Swanston Street MELBOURNE 3000
Sweet Mama's Cafe,-37.81346756,144.967098787,Melbourne (CBD),219-225 Bourke Street MELBOURNE 3000
ES-X Cafe,-37.81281454,144.970109239,Melbourne (CBD),113-149 Exhibition Street MELBOURNE 3000
Society Cafe,-37.81181004,144.972394182,Melbourne (CBD),23-29 Bourke Street MELBOURNE 3000
Bluestones 520 Cafe,-37.8152735,144.95838651,Melbourne (CBD),516-526 Bourke Street MELBOURNE 3000
Bluestones 520 Cafe,-37.8152735,144.95838651,Melbourne (CBD),516-526 Bourke Street MELBOURNE 3000
Cafe Euro Food & Wine Bar,-37.81499762,144.959196925,Melbourne (CBD),486-492 Bourke Street MELBOURNE 3000
L'Antila Lucina Cafe,-37.8146799,144.960224328,Melbourne (CBD),163-173 Queen Street MELBOURNE 3000
IF Cafe,-37.81428585,144.959968678,Melbourne (CBD),185-199 Queen Street MELBOURNE 3000
IF Cafe,-37.81428585,144.959968678,Melbourne (CBD),185-199 Queen Street MELBOURNE 3000
Jeremy's Hardware Lane Cafe & Bar,-37.8142907,144.961405265,Melbourne (CBD),13-15 Hardware Lane MELBOURNE 3000
Blitz Cafe Bar,-37.81358649,144.96199262,Melbourne (CBD),361-363 Little Bourke Street MELBOURNE 3000
Cafe All' Angalo,-37.81379622,144.961393695,Melbourne (CBD),387 Little Bourke Street MELBOURNE 3000
Fresh Express - The Healthy People's Cafe,-37.8138513,144.961204291,Melbourne (CBD),393-397 Little Bourke Street MELBOURNE 3000
Kenny's Bakery Cafe,-37.81402844,144.960680401,Melbourne (CBD),184-192 Queen Street MELBOURNE 3000
Crown Cafe Bakery,-37.81279567,144.964994303,Melbourne (CBD),215-217 Swanston Street MELBOURNE 3000
Kings No.1 Cafe,-37.8124312,144.967276794,Melbourne (CBD),194-200 Bourke Street MELBOURNE 3000
Chilli Cafe,-37.8122734,144.968187861,Melbourne (CBD),168 Russell Street MELBOURNE 3000
Cafe Alvajee,-37.81101377,144.971109237,Melbourne (CBD),47-55 Little Bourke Street MELBOURNE 3000
Masal Cafe Restaurant,-37.81288006,144.961012112,Melbourne (CBD),389-395 Lonsdale Street MELBOURNE 3000
Basekamp Cafe,-37.81359799,144.961073524,Melbourne (CBD),386-392 Little Bourke Street MELBOURNE 3000
Chambers Cafe,-37.81352286,144.960469742,Melbourne (CBD),200-222 Queen Street MELBOURNE 3000
Umi Cafe,-37.81261442,144.962878274,Melbourne (CBD),222-260 Elizabeth Street MELBOURNE 3000
Post Deng Cafe,-37.81204418,144.966218178,Melbourne (CBD),214-216 Little Bourke Street MELBOURNE 3000
